Designator,Mid X,Mid Y,Layer,Rotation
CAVDD,69.22,17.02,Top,270
CAVDD-1,107.95,34.29,Top,90
CBAT,48.39,29.97,Top,0
CBAT-1,133.35,22.23,Top,270
CBPH,81.28,29.21,Top,90
CBPH1,81.28,25.4,Top,270
CBPL,96.52,29.21,Top,90
CBPL1,96.52,25.4,Top,270
CCB1,43.82,21.59,Top,0
CCB1-1,135.89,30.48,Top,180
CCB2,38.73,21.59,Top,0
CCB2-1,140.97,30.48,Top,180
CCB3,33.66,21.59,Top,0
CCB3-1,146.05,30.48,Top,180
CCB4,28.58,21.59,Top,0
CCB4-1,151.13,30.48,Top,180
CCB5,23.5,21.59,Top,0
CCB5-1,156.21,30.48,Top,180
CCB6,18.41,21.59,Top,0
CCB6-1,161.29,30.48,Top,180
CCB7,13.34,21.59,Top,0
CCB7-1,166.37,30.48,Top,180
CCB8,8.26,21.59,Top,0
CCB8-1,171.45,30.48,Top,180
CCB9,3.18,21.59,Top,0
CCB9-1,176.53,30.48,Top,180
CCB10,51.31,29.21,Top,270
CCB10-1,136.53,22.23,Top,90
CCOMHN,100.2,10.16,Top,90
CCOMHP,106.68,10.29,Top,90
CCOMLN,78.74,10.54,Top,90
CCOMLN_BP,77.34,22.86,Top,0
CCOMLN_BP-1,100.33,21.59,Top,180
CCOMLP,73.15,10.41,Top,90
CCOMLP_BP,73.03,22.86,Top,180
CCOMLP_BP-1,105.41,21.59,Top,0
CCS,38.1,33.66,Top,270
CCVDD,72.26,33.4,Top,0
CCVDD-1,109.86,19.81,Top,90
CDVDD,64.77,36.83,Top,90
CDVDD-1,116.84,15.24,Top,270
CISOL,88.9,30.48,Top,180
CISOL1,88.9,24.13,Top,180
CLDOIN,78.74,35.56,Top,0
CLDOIN-1,112.9,8.89,Top,180
CNEG5V,69.85,30.48,Top,0
CNEG5V-1,109.22,22.86,Top,0
CNPN,71.12,38.1,Top,0
CNPN-1,119.38,7.62,Top,180
CREFHP,66.04,18.41,Top,270
CREFHP-1,110.49,34.29,Top,90
CTSREF,59.69,47.63,Top,270
CTSREF-1,158.37,10.41,Top,90
CVC1,46.36,18.41,Top,0
CVC1-1,133.35,33.66,Top,180
CVC2,41.27,18.41,Top,0
CVC2-1,138.43,33.66,Top,180
CVC3,36.2,18.41,Top,0
CVC3-1,143.51,33.66,Top,180
CVC4,31.12,18.41,Top,0
CVC4-1,148.59,33.66,Top,180
CVC5,26.04,18.41,Top,0
CVC5-1,153.67,33.66,Top,180
CVC6,20.96,18.41,Top,0
CVC6-1,158.75,33.66,Top,180
CVC7,15.88,18.41,Top,0
CVC7-1,163.83,33.66,Top,180
CVC8,10.79,18.41,Top,0
CVC8-1,168.91,33.66,Top,180
CVC9,5.59,18.29,Top,0
CVC9-1,173.99,33.66,Top,180
D1,75.82,15.37,Top,270
D2,103.38,13.97,Top,270
DIS_UART,68.2,35.81,Top,180
GNDH_PAD,164.47,14.61,Top,90
GNDL_PAD,13.97,36.83,Top,90
IC1,118.11,26.67,Top,180
IC2,59.69,26.67,Top,0
LED0,49.91,16.89,Top,90
LED1,43.82,16.89,Top,90
LED2,38.73,16.89,Top,90
LED3,33.53,16.89,Top,90
LED4,28.58,16.89,Top,90
LED5,23.5,16.89,Top,90
LED6,18.41,16.89,Top,90
LED7,13.34,16.89,Top,90
LED8,8.13,16.89,Top,90
LED9,1.91,17.27,Top,90
LED10,130.56,35.18,Top,90
LED11,135.89,35.18,Top,90
LED12,140.97,35.31,Top,90
LED13,146.05,35.18,Top,90
LED14,151.13,35.18,Top,90
LED15,156.21,35.18,Top,90
LED16,161.29,35.18,Top,90
LED17,166.37,35.18,Top,90
LED18,171.45,35.18,Top,90
LED19,176.02,35.43,Top,0
RBAT,51.05,33.53,Top,270
RBAT-1,141.61,22.23,Top,180
RCB0,48.9,12.7,Top,90
RCB0-1,130.81,39.37,Top,270
RCB1,43.82,12.7,Top,90
RCB1-1,135.89,39.37,Top,270
RCB2,38.73,12.7,Top,90
RCB2-1,140.97,39.37,Top,270
RCB3,33.66,12.7,Top,90
RCB3-1,146.05,39.37,Top,270
RCB4,28.58,12.7,Top,90
RCB4-1,151.13,39.37,Top,270
RCB5,23.5,12.7,Top,90
